Time,UnixTime,Ibi
70.1685960292816,1631168177.43182,0.5469003
70.7779960632324,1631168178.04122,0.6094034
71.4967861175537,1631168178.76001,0.7187831
72.2155661582947,1631168179.47879,0.7187833
72.7937161922455,1631168180.05694,0.5781517
73.3874959945679,1631168180.65072,0.5937777
74.0437760353088,1631168181.307,0.6562803
98.7011661529541,1631168205.96439,0.5937774
102.795106172562,1631168210.05833,0.6094031
103.435766220093,1631168210.69899,0.6406548
104.060796022415,1631168211.32402,0.6250288
104.623316049576,1631168211.88654,0.562526
105.217096090317,1631168212.48032,0.5937777
105.748366117477,1631168213.01159,0.5312746
106.342146158218,1631168213.60537,0.5937774
143.328236103058,1631168250.59146,0.5625262
143.890756130219,1631168251.15398,0.562526
144.46891617775,1631168251.73214,0.5781517
