Time,UnixTime,Hr
70.1685960292816,1631168177.43182,109.7092
70.7779960632324,1631168178.04122,98.45695
71.4967861175537,1631168178.76001,83.47441
72.2155661582947,1631168179.47879,83.47439
72.7937161922455,1631168180.05694,103.779
73.3874959945679,1631168180.65072,101.0479
74.0437760353088,1631168181.307,91.42435
98.7011661529541,1631168205.96439,101.048
102.795106172562,1631168210.05833,98.45699
103.435766220093,1631168210.69899,93.65418
104.060796022415,1631168211.32402,95.99557
104.623316049576,1631168211.88654,106.6617
105.217096090317,1631168212.48032,101.0479
105.748366117477,1631168213.01159,112.936
106.342146158218,1631168213.60537,101.048
143.328236103058,1631168250.59146,106.6617
143.890756130219,1631168251.15398,106.6617
144.46891617775,1631168251.73214,103.779
