Time,UnixTime,Tmp
0.811466217041016,1631168108.07469,33.71
1.06147623062134,1631168108.3247,33.71
1.31148600578308,1631168108.57471,33.71
1.56150603294373,1631168108.82473,33.71
2.81155610084534,1631168110.07478,33.69
3.06157612800598,1631168110.3248,33.69
3.3115861415863,1631168110.57481,33.69
3.56159615516663,1631168110.82482,33.69
3.81160616874695,1631168111.07483,33.69
4.06161618232727,1631168111.32484,33.69
4.31162619590759,1631168111.57485,33.69
4.56164622306824,1631168111.82487,33.69
4.81165599822998,1631168112.07488,33.73
5.0616660118103,1631168112.32489,33.73
5.31167602539063,1631168112.5749,33.73
5.56168603897095,1631168112.82491,33.73
7.56177616119385,1631168114.825,33.73
7.81179618835449,1631168115.07502,33.71
8.06180620193481,1631168115.32503,33.71
8.31181621551514,1631168115.57504,33.71
8.56182622909546,1631168115.82505,33.71
8.8118360042572,1631168116.07506,33.71
9.06184601783752,1631168116.32507,33.71
9.31185603141785,1631168116.57508,33.71
9.56187605857849,1631168116.8251,33.71
9.81188607215881,1631168117.07511,33.69
10.0618960857391,1631168117.32512,33.69
10.3119060993195,1631168117.57513,33.69
10.5619161128998,1631168117.82514,33.69
10.8119261264801,1631168118.07515,33.69
11.0619461536407,1631168118.32517,33.69
11.3119561672211,1631168118.57518,33.69
11.5619661808014,1631168118.82519,33.69
13.5620560646057,1631168120.82528,33.69
13.812066078186,1631168121.07529,33.73
14.0620760917664,1631168121.3253,33.73
14.312096118927,1631168121.57532,33.73
14.5621061325073,1631168121.82533,33.73
14.8121161460876,1631168122.07534,33.69
15.062126159668,1631168122.32535,33.69
15.3121361732483,1631168122.57536,33.69
15.5621461868286,1631168122.82537,33.69
15.8121662139893,1631168123.07539,33.71
16.0621762275696,1631168123.3254,33.71
16.3121860027313,1631168123.57541,33.71
16.5621960163116,1631168123.82542,33.71
16.812206029892,1631168124.07543,33.69
17.0622160434723,1631168124.32544,33.69
17.3122360706329,1631168124.57546,33.69
17.5622460842133,1631168124.82547,33.69
17.8122560977936,1631168125.07548,33.73
18.0622661113739,1631168125.32549,33.73
18.3122761249542,1631168125.5755,33.73
18.5622861385345,1631168125.82551,33.73
18.8122961521149,1631168126.07552,33.71
19.0623161792755,1631168126.32554,33.71
19.3123261928558,1631168126.57555,33.71
19.5623362064362,1631168126.82556,33.71
19.8123462200165,1631168127.07557,33.69
20.0623559951782,1631168127.32558,33.69
20.3123660087585,1631168127.57559,33.69
20.5623860359192,1631168127.82561,33.69
20.8123960494995,1631168128.07562,33.69
21.0624060630798,1631168128.32563,33.69
21.3124160766602,1631168128.57564,33.69
21.5624260902405,1631168128.82565,33.69
21.8124361038208,1631168129.07566,33.71
22.0624561309814,1631168129.32568,33.71
22.3124661445618,1631168129.57569,33.71
22.5624761581421,1631168129.8257,33.71
22.8124861717224,1631168130.07571,33.69
23.0624961853027,1631168130.32572,33.69
23.3125061988831,1631168130.57573,33.69
23.5625162124634,1631168130.82574,33.69
23.8125360012054,1631168131.07576,33.71
24.0625460147858,1631168131.32577,33.71
24.3125560283661,1631168131.57578,33.71
24.5625660419464,1631168131.82579,33.71
24.8125760555267,1631168132.0758,33.67
25.0625860691071,1631168132.32581,33.67
25.3126060962677,1631168132.57583,33.67
25.562616109848,1631168132.82584,33.67
26.81267619133,1631168134.0759,33.69
27.0626862049103,1631168134.32591,33.69
27.3126962184906,1631168134.57592,33.69
27.5627062320709,1631168134.82593,33.69
28.8127660751343,1631168136.07599,33.69
29.0627760887146,1631168136.326,33.69
29.3127861022949,1631168136.57601,33.69
29.5627961158752,1631168136.82602,33.69
29.8128061294556,1631168137.07603,33.73
30.0628261566162,1631168137.32605,33.73
30.3128361701965,1631168137.57606,33.73
30.5628461837769,1631168137.82607,33.73
30.8128561973572,1631168138.07608,33.73
31.0628662109375,1631168138.32609,33.73
31.3128762245178,1631168138.5761,33.73
31.5628960132599,1631168138.82612,33.73
31.8129060268402,1631168139.07613,33.73
32.0629160404205,1631168139.32614,33.73
32.3129260540009,1631168139.57615,33.73
32.5629360675812,1631168139.82616,33.73
32.8129460811615,1631168140.07617,33.71
33.0629560947418,1631168140.32618,33.71
33.3129761219025,1631168140.5762,33.71
33.5629861354828,1631168140.82621,33.71
33.8129961490631,1631168141.07622,33.71
34.0630061626434,1631168141.32623,33.71
34.3130161762238,1631168141.57624,33.71
34.5630261898041,1631168141.82625,33.71
34.8130462169647,1631168142.07627,33.69
35.063056230545,1631168142.32628,33.69
35.3130660057068,1631168142.57629,33.69
35.5630760192871,1631168142.8263,33.69
37.56316614151,1631168144.82639,33.71
37.8131761550903,1631168145.0764,33.71
38.063196182251,1631168145.32642,33.71
38.3132061958313,1631168145.57643,33.71
38.5632162094116,1631168145.82644,33.71
38.8132262229919,1631168146.07645,33.71
39.0632359981537,1631168146.32646,33.71
39.313246011734,1631168146.57647,33.71
39.5632660388947,1631168146.82649,33.71
39.813276052475,1631168147.0765,33.71
40.0632860660553,1631168147.32651,33.71
40.3132960796356,1631168147.57652,33.71
40.5633060932159,1631168147.82653,33.71
40.8133161067963,1631168148.07654,33.73
41.0633361339569,1631168148.32656,33.73
41.3133461475372,1631168148.57657,33.73
41.5633561611176,1631168148.82658,33.73
41.8133661746979,1631168149.07659,33.73
42.0633761882782,1631168149.3266,33.73
42.3133862018585,1631168149.57661,33.73
42.5633962154388,1631168149.82662,33.73
42.8134160041809,1631168150.07664,33.73
43.0634260177612,1631168150.32665,33.73
43.3134360313416,1631168150.57666,33.73
43.5634460449219,1631168150.82667,33.73
