Time,UnixTime,Hr
14.5140397548676,1631601376.17622,98.45699
15.1390697956085,1631601376.80125,95.99553
15.7797298431396,1631601377.44191,93.65421
16.4203798770905,1631601378.08256,93.65418
17.1235399246216,1631601378.78572,85.3294
17.7016897201538,1631601379.36387,103.779
18.3423497676849,1631601380.00453,93.65418
409.501089811325,1631601771.16327,127.9941
412.813739776611,1631601774.47592,132.4077
437.142989873886,1631601798.80517,116.3583
446.049649715424,1631601807.71183,123.8652
446.612179756165,1631601808.27436,106.6617
498.28644990921,1631601859.94863,137.1365
498.833349704742,1631601860.49553,109.7092
546.382429838181,1631601908.04461,109.7092
546.898069858551,1631601908.56025,116.3583
547.429349899292,1631601909.09153,112.936
547.944999933243,1631601909.60718,116.3583
548.476269721985,1631601910.13845,112.936
548.976299762726,1631601910.63848,119.9945
595.962849855423,1631601957.62503,123.8652
596.478499889374,1631601958.14068,116.3583
608.338419914246,1631601970.0006,116.3582
608.822819709778,1631601970.485,123.8652
609.854109764099,1631601971.51629,109.7092
610.27600979805,1631601971.93819,142.2156
610.822909832001,1631601972.48509,109.7092
611.276059865952,1631601972.93824,132.4077
611.744829893112,1631601973.40701,127.9941
630.261309862137,1631601991.92349,116.3583
630.792579889297,1631601992.45476,112.936
631.276979923248,1631601992.93916,123.8652
631.808259725571,1631601993.47044,112.9359
632.323909759521,1631601993.98609,116.3583
632.823929786682,1631601994.48611,119.9945
633.323949813843,1631601994.98613,119.9945
633.855229854584,1631601995.51741,112.936
634.402129888535,1631601996.06431,109.7092
663.356589794159,1631602025.01877,116.3583
663.77848982811,1631602025.44067,142.2156
664.24725985527,1631602025.90944,127.9941
665.184799909592,1631602026.84698,142.2156
