Time,UnixTime,Hr
7.0965518951416,1631682629.81663,112.936
7.64345192909241,1631682630.36353,109.7092
8.19035196304321,1631682630.91043,109.7092
185.307922124863,1631682808.028,137.1365
185.636061906815,1631682808.35614,182.8486
185.979831933975,1631682808.69991,174.5373
186.386101961136,1631682809.10618,147.6855
186.745491981506,1631682809.46557,166.9488
187.104882001877,1631682809.82496,166.9489
187.448652029037,1631682810.16873,174.5373
187.854922056198,1631682810.575,147.6855
188.245562076569,1631682810.96564,153.5929
188.589332103729,1631682811.30941,174.5373
188.9799721241,1631682811.70005,153.5929
259.655122041702,1631682882.3752,159.9927
