Time,UnixTime,Ibi
7.0965518951416,1631682629.81663,0.5312746
7.64345192909241,1631682630.36353,0.5469003
8.19035196304321,1631682630.91043,0.5469003
185.307922124863,1631682808.028,0.4375203
185.636061906815,1631682808.35614,0.3281403
185.979831933975,1631682808.69991,0.343766
186.386101961136,1631682809.10618,0.4062688
186.745491981506,1631682809.46557,0.3593917
187.104882001877,1631682809.82496,0.3593915
187.448652029037,1631682810.16873,0.343766
187.854922056198,1631682810.575,0.4062688
188.245562076569,1631682810.96564,0.3906431
188.589332103729,1631682811.30941,0.343766
188.9799721241,1631682811.70005,0.3906431
259.655122041702,1631682882.3752,0.3750172
