Time,UnixTime,Ibi
58.413831949234,1631771604.37405,0.5156488
162.137382030487,1631771708.0976,0.8125377
205.592522144318,1631771751.55274,1.125052
206.639451980591,1631771752.59967,1.046924
207.764502048492,1631771753.72472,1.125052
208.639542102814,1631771754.59976,0.8750405
230.499932050705,1631771776.46015,0.6875319
231.031202077866,1631771776.99142,0.5312746
231.687482118607,1631771777.6477,0.6562803
232.343762159348,1631771778.30398,0.6562805
232.89066195488,1631771778.85088,0.5469003
283.205492019653,1631771829.16571,1.093801
284.205542087555,1631771830.16576,1.000046
312.175581932068,1631771858.1358,0.5781517
321.160372018814,1631771867.12059,0.6406546
332.504652023315,1631771878.46487,0.5781517
333.129682064056,1631771879.0899,0.6250288
333.723462104797,1631771879.68368,0.5937777
334.348492145538,1631771880.30871,0.6250288
334.97351193428,1631771880.93373,0.6250291
338.520552158356,1631771884.48077,0.5625262
354.927561998367,1631771900.88778,0.6562805
355.599472045898,1631771901.55969,0.671906
356.177622079849,1631771902.13784,0.5781519
388.05410194397,1631771934.01432,0.6875319
388.757261991501,1631771934.71748,0.7031574
392.757441997528,1631771938.71766,0.671906
466.229592084885,1631772012.18981,0.5937774
466.745242118835,1631772012.70546,0.5156488
