Time,UnixTime,Tmp
1.88586449623108,1631603448.58095,31.81
2.13588452339172,1631603448.83097,31.81
2.38589453697205,1631603449.08098,31.81
3.38593459129334,1631603450.08102,31.79
3.63594436645508,1631603450.33103,31.79
3.88596439361572,1631603450.58105,31.79
4.13597440719604,1631603450.83106,31.79
4.38598442077637,1631603451.08107,31.79
5.6360445022583,1631603452.33113,31.81
5.88605451583862,1631603452.58114,31.81
6.13606452941895,1631603452.83115,31.81
6.38607454299927,1631603453.08116,31.81
7.63613438606262,1631603454.33122,31.81
7.88614439964294,1631603454.58123,31.81
8.13615441322327,1631603454.83124,31.81
8.38616442680359,1631603455.08125,31.81
10.3862645626068,1631603457.08135,31.81
11.6363244056702,1631603458.33141,31.83
11.8863344192505,1631603458.58142,31.83
12.1363444328308,1631603458.83143,31.83
12.3863544464111,1631603459.08144,31.83
12.6363644599915,1631603459.33145,31.87
12.8863744735718,1631603459.58146,31.87
13.1363844871521,1631603459.83147,31.87
13.3864045143127,1631603460.08149,31.87
13.6364145278931,1631603460.3315,31.87
13.8864245414734,1631603460.58151,31.87
14.1364345550537,1631603460.83152,31.87
14.386444568634,1631603461.08153,31.87
15.6365044116974,1631603462.33159,31.87
15.8865144252777,1631603462.5816,31.87
16.136524438858,1631603462.83161,31.87
16.3865444660187,1631603463.08163,31.87
18.3866345882416,1631603465.08172,31.85
18.6366443634033,1631603465.33173,31.87
18.8866543769836,1631603465.58174,31.87
19.136664390564,1631603465.83175,31.87
19.3866744041443,1631603466.08176,31.87
19.6366944313049,1631603466.33178,31.85
19.8867044448853,1631603466.58179,31.85
20.1367144584656,1631603466.8318,31.85
20.3867244720459,1631603467.08181,31.85
22.3868143558502,1631603469.0819,31.87
22.6368243694305,1631603469.33191,31.85
22.8868443965912,1631603469.58193,31.85
23.1368544101715,1631603469.83194,31.85
23.3868644237518,1631603470.08195,31.85
23.6368744373322,1631603470.33196,31.87
23.8868844509125,1631603470.58197,31.87
24.1368944644928,1631603470.83198,31.87
24.3869144916534,1631603471.082,31.87
25.6369645595551,1631603472.33205,31.87
25.8869845867157,1631603472.58207,31.87
26.1369943618774,1631603472.83208,31.87
26.3870043754578,1631603473.08209,31.87
26.6370143890381,1631603473.3321,31.89
26.8870244026184,1631603473.58211,31.89
27.1370344161987,1631603473.83212,31.89
27.3870444297791,1631603474.08213,31.89
27.6370644569397,1631603474.33215,31.87
27.88707447052,1631603474.58216,31.87
28.1370844841003,1631603474.83217,31.87
28.3870944976807,1631603475.08218,31.87
28.637104511261,1631603475.33219,31.87
28.8871145248413,1631603475.5822,31.87
29.137134552002,1631603475.83222,31.87
29.3871445655823,1631603476.08223,31.87
29.6371545791626,1631603476.33224,31.89
29.8871645927429,1631603476.58225,31.89
30.1371743679047,1631603476.83226,31.89
30.387184381485,1631603477.08227,31.89
30.6371943950653,1631603477.33228,31.89
30.887214422226,1631603477.5823,31.89
31.1372244358063,1631603477.83231,31.89
31.3872344493866,1631603478.08232,31.89
31.6372444629669,1631603478.33233,31.91
31.8872544765472,1631603478.58234,31.91
32.1372644901276,1631603478.83235,31.91
32.3872845172882,1631603479.08237,31.91
32.6372945308685,1631603479.33238,31.89
32.8873045444489,1631603479.58239,31.89
33.1373145580292,1631603479.8324,31.89
33.3873245716095,1631603480.08241,31.89
33.6373345851898,1631603480.33242,31.89
33.8873543739319,1631603480.58244,31.89
34.1373643875122,1631603480.83245,31.89
34.3873744010925,1631603481.08246,31.89
34.6373844146729,1631603481.33247,31.91
34.8873944282532,1631603481.58248,31.91
35.1374044418335,1631603481.83249,31.91
35.3874144554138,1631603482.0825,31.91
35.6374344825745,1631603482.33252,31.91
35.8874444961548,1631603482.58253,31.91
36.1374545097351,1631603482.83254,31.91
36.3874645233154,1631603483.08255,31.91
36.6374745368958,1631603483.33256,31.91
36.8874845504761,1631603483.58257,31.91
37.1375045776367,1631603483.83259,31.91
37.387514591217,1631603484.0826,31.91
37.6375243663788,1631603484.33261,31.91
37.8875343799591,1631603484.58262,31.91
38.1375443935394,1631603484.83263,31.91
38.3875544071198,1631603485.08264,31.91
38.6375744342804,1631603485.33266,31.91
38.8875844478607,1631603485.58267,31.91
39.137594461441,1631603485.83268,31.91
39.3876044750214,1631603486.08269,31.91
39.6376144886017,1631603486.3327,31.89
39.887624502182,1631603486.58271,31.89
40.1376345157623,1631603486.83272,31.89
40.387654542923,1631603487.08274,31.89
40.6376645565033,1631603487.33275,31.89
40.8876745700836,1631603487.58276,31.89
41.1376845836639,1631603487.83277,31.89
41.3876943588257,1631603488.08278,31.89
41.637704372406,1631603488.33279,31.91
41.8877243995667,1631603488.58281,31.91
42.137734413147,1631603488.83282,31.91
42.3877444267273,1631603489.08283,31.91
42.6377544403076,1631603489.33284,31.93
42.8877644538879,1631603489.58285,31.93
43.1377744674683,1631603489.83286,31.93
43.3877944946289,1631603490.08288,31.93
43.6378045082092,1631603490.33289,31.91
43.8878145217896,1631603490.5829,31.91
44.1378245353699,1631603490.83291,31.91
44.3878345489502,1631603491.08292,31.91
44.6378445625305,1631603491.33293,31.95
44.8878545761108,1631603491.58294,31.95
45.1378743648529,1631603491.83296,31.95
45.3878843784332,1631603492.08297,31.95
45.6378943920136,1631603492.33298,31.93
45.8879044055939,1631603492.58299,31.93
46.1379144191742,1631603492.833,31.93
46.3879244327545,1631603493.08301,31.93
46.6379444599152,1631603493.33303,31.93
46.8879544734955,1631603493.58304,31.93
47.1379644870758,1631603493.83305,31.93
47.3879745006561,1631603494.08306,31.93
47.6379845142365,1631603494.33307,31.91
47.8879945278168,1631603494.58308,31.91
48.1380145549774,1631603494.8331,31.91
48.3880245685577,1631603495.08311,31.91
48.6380345821381,1631603495.33312,31.93
48.8880443572998,1631603495.58313,31.93
49.1380543708801,1631603495.83314,31.93
49.3880643844604,1631603496.08315,31.93
49.6380743980408,1631603496.33316,31.95
49.8880944252014,1631603496.58318,31.95
50.1381044387817,1631603496.83319,31.95
50.3881144523621,1631603497.0832,31.95
50.6381244659424,1631603497.33321,31.95
50.8881344795227,1631603497.58322,31.95
51.138144493103,1631603497.83323,31.95
51.3881645202637,1631603498.08325,31.95
51.638174533844,1631603498.33326,31.93
51.8881845474243,1631603498.58327,31.93
52.1381945610046,1631603498.83328,31.93
52.388204574585,1631603499.08329,31.93
52.6382145881653,1631603499.3333,31.95
52.8882343769073,1631603499.58332,31.95
53.1382443904877,1631603499.83333,31.95
53.388254404068,1631603500.08334,31.95
53.6382644176483,1631603500.33335,31.95
53.8882744312286,1631603500.58336,31.95
54.138284444809,1631603500.83337,31.95
54.3882944583893,1631603501.08338,31.95
54.6383144855499,1631603501.3334,31.95
54.8883244991302,1631603501.58341,31.95
55.1383345127106,1631603501.83342,31.95
55.3883445262909,1631603502.08343,31.95
