Time,Acc_X,Acc_Y,Acc_Z,GSR,Tmp,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,X_10,Y_10,Z_10,X_11,Y_11,Z_11,X_12,Y_12,Z_12,X_13,Y_13,Z_13,X_14,Y_14,Z_14,X_15,Y_15,Z_15,X_16,Y_16,Z_16,X_17,Y_17,Z_17,X_18,Y_18,Z_18,X_19,Y_19,Z_19,Performance,Labeling
8.910275,0.21601918686929342,0.6373756386069895,0.027409208328457734,-0.6000190804086789,-1.0888198226201404,0.23442259792957756,-1.1630903156203942,-0.5828561500375461,0.5736288365598627,-1.096856475801005,-0.7464638329200016,0.5593712910060582,-1.0731661420086478,-0.7290473227790092,0.526426611223811,-1.0052635605293165,-0.6637542999602506,0.36521541062808677,-0.9810883062260792,-0.61094120734462,0.7338113213018037,-0.9947786456201427,-0.8105238418258358,0.41039308504208855,-0.9080021837621587,-0.7417792848446635,0.48227509232981336,-0.9983666281163902,-0.6165613100715219,0.5746688247180253,-0.9763901349120543,-0.6840506847764157,0.25071605161890037,-1.209259266316404,-0.6619874996751223,0.09428947119337881,-0.9893819236173139,-0.212417044109381,,,,-0.09085079200501323,-1.3797090301917487,0.2567151676322834,0.40237323728254565,-0.9593845339145198,-0.6022968498029866,0.31130000314676903,-0.8508586361380163,-0.592433308921786,,,,,,,,,,,,,-1.0,1.0
9.02756,0.036582189166994766,0.6217906493438004,-0.17011578973154634,-0.60908188331013,-1.0888198226201404,0.2542094350845821,-1.242149612496788,-0.5437068792962966,0.5985808436550782,-1.0810624491881302,-0.7467404169212957,0.6000033443868757,-1.052802575764514,-0.7293646470048527,0.6118977919502556,-0.9714427716555772,-0.6640017351177513,0.4376572716663123,-0.9481852320331342,-0.6340407808306756,0.7502969349414063,-1.004601292552549,-0.7997495364671499,1.1176186374711257,-1.3129872996850827,-0.6908948050949032,0.4866654204671985,-1.0114814432186334,-0.6168419858167544,0.5094138365425717,-1.2132340617411888,-0.6667085383802513,0.2593921301701791,-1.210813486607047,-0.6608015610619601,0.1093156277774817,-1.1499098710997537,-0.16130985695611288,,,,-0.0632907112339088,-1.5955176049201367,0.3351139095209335,0.48220822317575285,-1.0200276313495955,-0.668483252933393,0.3567182443765947,-0.873014152221001,-0.6184812154390347,,,,,,,,,,,,,-1.0,1.0
9.146873,-0.5699292617734143,0.6346747974387843,-0.23081172478715206,-0.6053687861072452,-1.0888198226201404,,,,0.5761662703729306,-1.0742467372587978,-0.7468578492346944,0.5493504460945835,-1.054556133074191,-0.7379883994954258,0.48036138422480207,-0.9991287761176812,-0.6988613579199792,0.2610357987303619,-0.9444718737920847,-0.6675537271781904,0.6908479791601354,-0.9956462089049142,-0.7865932827301979,,,,0.4987247597144603,-0.9853828166527624,-0.6273945121335844,,,,0.15545531105706517,-0.9297363959723421,-0.696613978935969,,,,,,,,,,-0.22400749016639115,-1.206831048958938,-0.5414083175943825,0.1636516034433819,-1.106596087166419,-0.6393446045685842,,,,,,,,,,,,,-1.0,1.0
9.264166,0.18183579718260964,0.7735392215763162,0.5473783994033002,-0.6017185526019442,-1.0888198226201404,0.43449811292423257,-1.1946094488868897,-0.8125109521427227,0.573421980542493,-1.0262537416601842,-0.7476489721881174,0.5863280931038866,-1.005349247366492,-0.7400214522561003,0.631303252702023,-0.9458063927990272,-0.7047231766189663,0.5043721285358365,-0.9142873953471653,-0.6814610095675354,0.5886685230538126,-0.9696267753657192,-0.773956923166482,0.6018194136747271,-0.9172793159869609,-0.7223665423502396,0.40001081801944494,-0.9562773895468739,-0.6335326408657105,0.4827028406567264,-0.9282706692351813,-0.7508287422686999,0.1182462858188763,-1.0451766896575667,-0.6854910460419034,0.3757646792227209,-1.0921596726263496,-0.6517836566215701,,,,,,,0.25388344741974245,-1.2518118501947424,-0.7284995934777324,0.44447691741865436,-1.0077338592309504,-0.6602466725804652,,,,,,,,,,,,,-1.0,1.0
9.381334,0.19924672789992365,0.31109054101958933,0.5068400733916519,-0.5967956358795035,-1.0888198226201404,0.3801266774196309,-0.9066431801387519,-0.8560424058791747,0.3429717359916286,-0.7950868614544752,-0.7937658777893938,0.31205275914751623,-0.7756049566163925,-0.7876045310235296,0.23391352578795493,-0.7030745481195236,-0.7622031618843333,0.08068633486861658,-0.6614023220371372,-0.6978772576694354,0.38157637833263525,-0.7430054838109386,-0.8099144703171473,0.38288413366897167,-0.6780424144798374,-0.7520598177787678,0.5208141669491103,-0.663980940101694,-0.6305730547353534,0.40794798432018137,-0.6452028795290097,-0.5775544674032146,0.04208062053768545,-0.823833667359573,-0.578453497656165,-0.017048282977807503,-0.7898991425005464,-0.5374982076749182,,,,,,,0.10418991681769102,-0.7292883016220613,-0.6757058012203294,0.026652222779528924,-0.6332454182205496,-0.6626757063908766,,,,,,,,,,,,,-1.0,1.0
9.502023,0.09201888777559973,0.04299484787298309,0.6674993143154447,-0.5916813223899308,-1.0888198226201404,0.3714169050297715,-0.6898351193038469,-0.8062069781724246,0.3512201196842438,-0.6995819257555825,-0.8034664049409317,0.35060235925613437,-0.6748059701507348,-0.7937487991219717,0.3575519314485844,-0.5930125371283439,-0.7549956151997127,0.29650529100954537,-0.583679899513828,-0.7463197151610079,0.3757620445438742,-0.7051007902923033,-0.7992666673982398,0.43684649007437854,-0.6672963118486324,-0.7447604474752128,0.49714114943400256,-0.6226717543731413,-0.6033107697848135,0.3739576529282567,-0.6000063971538442,-0.546669288726153,0.4058954166280396,-0.9088129005033115,-0.6204327963186173,0.1285358902889915,-0.7499959202871804,-0.505428284231424,,,,-0.019635933129438905,-1.0643620275340169,-0.2624613972248061,0.3833735384575642,-0.5011975153593357,-0.7678607095206645,0.23449213676420078,-0.5047740175849921,-0.7512921201226683,,,,,,,,,,,,,-1.0,1.0
9.621429,0.07207637888420658,-0.026028105353964135,0.50469716574258,-0.5923931029810194,-1.0888198226201404,0.36887432237036216,-0.6834500881376676,-0.7829222402410239,0.37354218235862335,-0.693918479672493,-0.7979918959097276,0.3634195600253257,-0.6700942195263739,-0.7888116074904641,0.34330323230264853,-0.5735020939639934,-0.7580654075085776,0.27678305100113554,-0.5593134373794594,-0.721368323018998,0.4384863257548448,-0.7148156815155645,-0.7842252187660541,0.38105162918869573,-0.6485250407837744,-0.7318138211370712,0.5394658350946876,-0.6444017080407275,-0.6031212034437924,0.34087423900196967,-0.6022755928634512,-0.5501756600835064,0.8042283996063504,-0.6526520931214117,-0.7405112770839056,0.17662686437418013,-0.7336621237599588,-0.5302067765883055,0.9758274205867061,-0.6829755491957242,-0.62994488138087,0.04015829400019096,-1.035041829905923,-0.30191467660410465,0.29052077350691535,-0.6493901645727596,-0.7438954714241339,0.2505590126365296,-0.5463178644355388,-0.7360201502229441,,,,,,,,,,,,,-1.0,1.0
9.738761,-0.037554479164025246,-0.48043630453601677,0.6310893210835044,-0.5939632048480791,-1.0888198226201404,0.3508153465874298,-0.6843009882389334,-0.7452638796388619,0.3926740655651241,-0.694385758662608,-0.7438787768632124,0.3782166582284137,-0.6732369037148513,-0.7360937872058302,0.34516132549252443,-0.6322320280488202,-0.6923689786583287,0.2783609373587766,-0.5917623052321875,-0.6858342222491716,0.48784899738906085,-0.7334223661356073,-0.7588429670383255,0.3275139861393332,-0.6407005405015205,-0.6922270521288341,0.5414591454526883,-0.6885848057262419,-0.6224922383843928,0.31645207145545445,-0.621568362770275,-0.5362515715870009,0.8856647884782264,-0.48890955194547736,-0.7764686430106342,0.30192248501702235,-0.6286221801403489,-0.6059863989190136,1.0811056481368284,-0.44574587757319223,-0.6708258148010952,0.18596179207162142,-0.8451760668816527,-0.4298243599550211,0.28119951273377286,-0.6855920889368021,-0.7023122699044019,0.2911751710700637,-0.6699260004797412,-0.6944186915425983,,,,,,,,,,,,,-1.0,1.0
9.855058,0.4595761374234384,0.20024637563236033,1.119552484006937,-0.581331061282167,-1.0888198226201404,0.3489360716808989,-0.6641298185138432,-0.7489107551204409,0.3967583227080784,-0.6942979598534381,-0.7412118272194473,0.38091387677577104,-0.6786895436808427,-0.7372588648781677,0.3439778970918296,-0.6443577232486757,-0.7092296891971906,0.2788083177012656,-0.6092324854475101,-0.6974003211531788,0.49144993996674247,-0.731498342509672,-0.7570595911799861,0.3362725853489511,-0.6530258401735716,-0.6942726030968986,0.5375401916056121,-0.6916952782104873,-0.6445730433470285,0.31057802732760875,-0.636100999887969,-0.5443109923188284,0.7182343384066115,-0.4940566120057964,-0.7964626895555019,0.2967249136855214,-0.6428783087805213,-0.618428673687175,0.864620530599151,-0.4521489176211893,-0.6912114364041371,0.1810271721897528,-0.8661561257134983,-0.44778326745995156,0.2727024252037118,-0.6812483454256474,-0.734065593992436,0.30244738950054584,-0.659792428094576,-0.7060084318443748,,,,,,,,,,,,,-1.0,1.0
9.970468,-0.16975690374106137,-0.051138640778219085,0.9287628050318749,-0.5640847896945003,-1.0888198226201404,0.2383692499412169,-0.6895530723165032,-0.7441289145382162,0.38686428447727783,-0.6939786636579859,-0.7407251011836505,0.34381145349653325,-0.6818120720381744,-0.7399358991559953,0.23285618228228752,-0.6204248867486447,-0.7332484593891732,0.1948192217632505,-0.6162711022224737,-0.74949670270415,0.43290121982989205,-0.7398795945495718,-0.7291904866117366,0.32626123024017534,-0.6498926331761178,-0.7048074304828577,0.39440790793198394,-0.7148354844769806,-0.6023159138710834,0.2587779042393793,-0.6238115086341328,-0.5501037009698292,0.4520780047543438,-0.7572450318234685,-0.7209725724016224,0.1946349575425087,-0.6822785517474964,-0.5941610234112709,0.5484954134821262,-0.8113980643311263,-0.6057140083821116,0.0738160413987996,-0.938785444154015,-0.40642868321213327,0.19446567435756662,-0.544410804840121,-0.7810838131797647,0.24690149518974036,-0.5556515196411963,-0.7452953462060103,,,,,,,,,,,,,-1.0,1.0
10.08532,0.15696276677964613,-0.005471088005865269,0.8285057329193081,-0.5467715302912064,-1.0888198226201404,0.18376079401921272,-0.6778631306272519,-0.7507591714604194,0.2851416887356504,-0.6938902630414912,-0.7410233174532024,0.26028656025498365,-0.6824099850162905,-0.7402765560455039,0.19872533300075257,-0.6427502058845498,-0.7277761515187682,0.17183940991971072,-0.6159864325106387,-0.758937560063405,0.37416003089207817,-0.7143005962432367,-0.7344603931273822,0.2598568515190917,-0.6877419606200373,-0.7022340985769814,0.38557507036787453,-0.6887066988000614,-0.5718530437209812,0.15941629742572838,-0.6665898028892466,-0.5386736499359936,0.16870261640093848,-0.7627181052849211,-0.6419173187995332,0.20144155191954555,-0.708840097950574,-0.5825619032196705,0.18254544584238025,-0.8251027263360458,-0.5133182846707824,0.09758217318777435,-0.9734918982727372,-0.3908403900052943,0.19998326366280106,-0.4661855830350018,-0.8123686809675578,0.17641843964721854,-0.5213925868143309,-0.77695169066131,,,,,,,,,,,,,-1.0,1.0
