Time,UnixTime,Ibi
-0.683416366577148,1631604267.88827,0.5312746
-0.183396339416504,1631604268.38829,0.5000231
0.363503694534302,1631604268.93519,0.5469005
0.910403728485107,1631604269.48209,0.5469003
1.37918376922607,1631604269.95087,0.4687717
1.87920379638672,1631604270.45089,0.5000231
2.37922382354736,1631604270.95091,0.5000231
2.86362361907959,1631604271.43531,0.4843974
3.3480236530304,1631604271.91971,0.4843974
6.44191384315491,1631604275.0136,0.562526
6.87943363189697,1631604275.45112,0.4375203
9.37955379486084,1631604277.95124,0.5000231
9.87957382202148,1631604278.45126,0.5000231
10.4108438491821,1631604278.98253,0.5312746
10.9421236515045,1631604279.51381,0.5312748
11.4890236854553,1631604280.06071,0.5469003
12.020293712616,1631604280.59198,0.5312746
12.5671937465668,1631604281.13888,0.5469003
13.0984737873077,1631604281.67016,0.5312746
13.5984938144684,1631604282.17018,0.5000234
14.1297736167908,1631604282.70146,0.5312746
14.6454236507416,1631604283.21711,0.5156488
15.1766936779022,1631604283.74838,0.5312746
15.661093711853,1631604284.23278,0.4843974
18.2862136363983,1631604286.8579,0.5469003
18.817483663559,1631604287.38917,0.5312746
19.3487637042999,1631604287.92045,0.5312748
19.8487837314606,1631604288.42047,0.5000231
20.4113137722015,1631604288.983,0.562526
20.9582138061523,1631604289.5299,0.5469003
21.5051138401031,1631604290.0768,0.5469003
21.9895136356354,1631604290.5612,0.4843974
22.520783662796,1631604291.09247,0.5312748
25.1459038257599,1631604293.71759,0.5469005
25.6928036212921,1631604294.26449,0.5469003
26.1928236484528,1631604294.76451,0.5000231
26.7084736824036,1631604295.28016,0.5156488
27.2241237163544,1631604295.79581,0.5156488
27.7554037570953,1631604296.32709,0.5312748
28.3648037910461,1631604296.93649,0.6094031
28.8648238182068,1631604297.43651,0.5000231
29.349223613739,1631604297.92091,0.4843974
51.7096338272095,1631604320.28132,0.4375203
52.1315336227417,1631604320.70322,0.4218945
140.604373693466,1631604409.17606,0.32814
264.547613620758,1631604533.1193,0.3906429
264.938263654709,1631604533.50995,0.3906431
265.266403675079,1631604533.83809,0.3281403
265.59454369545,1631604534.16623,0.3281403
266.00081372261,1631604534.5725,0.4062688
266.344573736191,1631604534.91626,0.3437657
266.735223770142,1631604535.30691,0.3906431
267.063363790512,1631604535.63505,0.3281403
293.986483812332,1631604562.55817,0.4062688
