Time,UnixTime,Hr
-0.683416366577148,1631604267.88827,112.936
-0.183396339416504,1631604268.38829,119.9945
0.363503694534302,1631604268.93519,109.7092
0.910403728485107,1631604269.48209,109.7092
1.37918376922607,1631604269.95087,127.9941
1.87920379638672,1631604270.45089,119.9945
2.37922382354736,1631604270.95091,119.9945
2.86362361907959,1631604271.43531,123.8652
3.3480236530304,1631604271.91971,123.8652
6.44191384315491,1631604275.0136,106.6617
6.87943363189697,1631604275.45112,137.1365
9.37955379486084,1631604277.95124,119.9945
9.87957382202148,1631604278.45126,119.9945
10.4108438491821,1631604278.98253,112.936
10.9421236515045,1631604279.51381,112.9359
11.4890236854553,1631604280.06071,109.7092
12.020293712616,1631604280.59198,112.936
12.5671937465668,1631604281.13888,109.7092
13.0984737873077,1631604281.67016,112.936
13.5984938144684,1631604282.17018,119.9944
14.1297736167908,1631604282.70146,112.936
14.6454236507416,1631604283.21711,116.3583
15.1766936779022,1631604283.74838,112.936
15.661093711853,1631604284.23278,123.8652
18.2862136363983,1631604286.8579,109.7092
18.817483663559,1631604287.38917,112.936
19.3487637042999,1631604287.92045,112.9359
19.8487837314606,1631604288.42047,119.9945
20.4113137722015,1631604288.983,106.6617
20.9582138061523,1631604289.5299,109.7092
21.5051138401031,1631604290.0768,109.7092
21.9895136356354,1631604290.5612,123.8652
22.520783662796,1631604291.09247,112.9359
25.1459038257599,1631604293.71759,109.7092
25.6928036212921,1631604294.26449,109.7092
26.1928236484528,1631604294.76451,119.9945
26.7084736824036,1631604295.28016,116.3583
27.2241237163544,1631604295.79581,116.3583
27.7554037570953,1631604296.32709,112.9359
28.3648037910461,1631604296.93649,98.45699
28.8648238182068,1631604297.43651,119.9945
29.349223613739,1631604297.92091,123.8652
51.7096338272095,1631604320.28132,137.1365
52.1315336227417,1631604320.70322,142.2156
140.604373693466,1631604409.17606,182.8488
264.547613620758,1631604533.1193,153.593
264.938263654709,1631604533.50995,153.5929
265.266403675079,1631604533.83809,182.8486
265.59454369545,1631604534.16623,182.8486
266.00081372261,1631604534.5725,147.6855
266.344573736191,1631604534.91626,174.5375
266.735223770142,1631604535.30691,153.5929
267.063363790512,1631604535.63505,182.8486
293.986483812332,1631604562.55817,147.6855
