Time,Labeling
0.01666667,-1
0.03333334,-1
0.05,-1
0.06666667,1.989026
0.08333334,1.989026
0.1,1.989026
0.1166667,1.989026
0.1333333,1.989026
0.15,1.989026
0.1666667,1.989026
0.1833333,1.989026
0.2,1.989026
0.2166667,1.989026
0.2333333,1.989026
0.25,1.989026
0.2666667,1.989026
0.2833333,1.989026
0.3,1.989026
0.3166667,1.989026
0.3333333,1.989026
0.35,1.989026
0.3666667,1.989026
0.3833333,1.989026
0.4,1.989026
0.4166667,1.989026
0.4333333,1.989026
0.45,1.989026
0.4666667,1.989026
0.4833333,1.989026
0.5,1.989026
0.5166667,1.989026
0.5333334,1.989026
0.55,1.989026
0.5666667,1.989026
0.5833333,1.989026
0.6,1.989026
0.6166667,1.989026
0.6333333,1.989026
0.65,1.989026
0.6666667,1.989026
0.6833333,1.989026
0.7,1.989026
0.7166666,1.989026
0.7333333,1.989026
0.75,1.989026
0.7666667,1.989026
0.7833334,1.989026
0.8,1.989026
0.8166667,1.989026
0.8333333,1.989026
0.85,1.989026
0.8666667,1.989026
0.8833333,1.989026
0.9,1.989026
0.9166667,1.989026
0.9333333,1.989026
0.95,1.989026
0.9666666,1.989026
0.9833333,1.989026
1,1.989026
1.016667,1.989026
1.033333,1.989026
1.05,1.989026
1.066667,1.989026
1.083333,1.989026
1.1,1.989026
1.116667,1.989026
1.133333,1.989026
1.15,1.989026
1.166667,1.989026
1.183333,1.989026
1.2,1.989026
1.216667,1.989026
1.233333,1.989026
1.25,1.989026
1.266667,1.989026
1.283333,1.989026
1.3,1.989026
1.316667,1.989026
1.333333,1.989026
1.35,1.989026
1.366667,1.989026
1.383333,1.989026
1.4,1.989026
1.416667,1.989026
1.433333,1.989026
1.45,1.989026
1.466667,1.989026
1.483333,1.989026
1.5,1.989026
1.516667,1.989026
1.533333,1.989026
1.55,1.989026
1.566667,1.989026
1.583333,1.989026
1.6,1.989026
1.616667,1.989026
1.633333,1.989026
1.65,1.989026
1.666667,1.989026
1.683333,1.989026
1.7,1.989026
1.716667,1.989026
1.733333,1.989026
1.75,1.989026
1.766667,1.989026
1.783333,1.989026
1.8,1.989026
1.816667,1.989026
1.833333,1.989026
1.85,1.989026
1.866667,1.989026
1.883333,1.989026
1.9,1.989026
1.916667,1.989026
1.933333,1.989026
1.95,1.989026
1.966667,1.989026
1.983333,1.989026
2,1.989026
2.016667,1.989026
2.033333,1.989026
2.05,1.989026
2.066667,1.989026
2.083333,1.989026
2.1,1.989026
2.116667,1.989026
2.133333,1.989026
2.15,1.989026
2.166667,1.989026
2.183333,1.989026
2.2,1.989026
2.216667,1.989026
2.233333,1.989026
2.25,1.989026
2.266667,1.989026
2.283333,1.989026
2.3,1.989026
2.316667,1.989026
