Time,UnixTime,Tmp
-1.8235821723938,1631513804.77862,29.19
-1.57357215881348,1631513805.02863,29.19
-1.32355213165283,1631513805.27865,29.19
-1.07354211807251,1631513805.52866,29.19
-0.823532104492188,1631513805.77867,29.23
-0.573522090911865,1631513806.02868,29.23
-0.323512077331543,1631513806.27869,29.23
-0.0735020637512207,1631513806.5287,29.23
0.926547765731812,1631513807.52875,29.25
1.17655777931213,1631513807.77876,29.29
1.42656779289246,1631513808.02877,29.29
1.6765878200531,1631513808.27879,29.29
1.92659783363342,1631513808.5288,29.29
3.17664790153503,1631513809.77885,29.33
3.42666792869568,1631513810.02887,29.33
3.67667770385742,1631513810.27888,29.33
3.92668771743774,1631513810.52889,29.33
5.17674779891968,1631513811.77895,29.41
5.4267578125,1631513812.02896,29.41
5.67676782608032,1631513812.27897,29.41
5.92677783966064,1631513812.52898,29.41
7.17683792114258,1631513813.77904,29.47
7.4268479347229,1631513814.02905,29.47
7.67685770988464,1631513814.27906,29.47
7.92686772346497,1631513814.52907,29.47
9.1769278049469,1631513815.77913,29.53
9.42693781852722,1631513816.02914,29.53
9.67695784568787,1631513816.27916,29.53
9.92696785926819,1631513816.52917,29.53
11.1770179271698,1631513817.77922,29.55
11.4270377159119,1631513818.02924,29.55
11.6770477294922,1631513818.27925,29.55
11.9270577430725,1631513818.52926,29.55
13.1771178245544,1631513819.77932,29.59
13.4271278381348,1631513820.02933,29.59
13.6771378517151,1631513820.27934,29.59
13.9271478652954,1631513820.52935,29.59
15.1772077083588,1631513821.77941,29.65
15.4272177219391,1631513822.02942,29.65
15.6772277355194,1631513822.27943,29.65
15.9272377490997,1631513822.52944,29.65
17.1772978305817,1631513823.7795,29.71
17.427307844162,1631513824.02951,29.71
17.6773278713226,1631513824.27953,29.71
17.927337884903,1631513824.52954,29.71
19.1773977279663,1631513825.7796,29.73
19.4274077415466,1631513826.02961,29.73
19.677417755127,1631513826.27962,29.73
19.9274277687073,1631513826.52963,29.73
21.1774878501892,1631513827.77969,29.79
21.4274978637695,1631513828.0297,29.79
21.6775078773499,1631513828.27971,29.79
21.9275178909302,1631513828.52972,29.79
23.1775777339935,1631513829.77978,29.81
23.4275877475739,1631513830.02979,29.81
23.6775977611542,1631513830.2798,29.81
23.9276177883148,1631513830.52982,29.81
25.1776678562164,1631513831.77987,29.83
25.4276778697968,1631513832.02988,29.83
25.6776978969574,1631513832.2799,29.83
25.9277079105377,1631513832.52991,29.83
27.1777677536011,1631513833.77997,29.89
27.4277777671814,1631513834.02998,29.89
27.6777877807617,1631513834.27999,29.89
27.927797794342,1631513834.53,29.89
28.9278478622437,1631513835.53005,29.91
29.177857875824,1631513835.78006,29.91
29.4278678894043,1631513836.03007,29.91
29.6778779029846,1631513836.28008,29.91
29.9278879165649,1631513836.53009,29.91
