Time,UnixTime,Ibi
17.7278978824615,1631513824.3301,0.9062919
27.4470977783203,1631513834.0493,0.453146
27.9314978122711,1631513834.5337,0.4843974
28.3846378326416,1631513834.98684,0.453146
28.8690378665924,1631513835.47124,0.4843976
29.3378078937531,1631513835.94001,0.4687717
29.8534579277039,1631513836.45566,0.5156488
30.3066077232361,1631513836.90881,0.453146
30.7753777503967,1631513837.37758,0.4687717
31.2128977775574,1631513837.8151,0.4375203
31.7754278182983,1631513838.37763,0.562526
32.2285678386688,1631513838.83077,0.453146
32.7129678726196,1631513839.31517,0.4843974
33.1817378997803,1631513839.78394,0.4687717
33.6817579269409,1631513840.28396,0.5000231
34.1505377292633,1631513840.75274,0.4687717
34.619307756424,1631513841.22151,0.4687719
35.1037077903748,1631513841.70591,0.4843974
272.474067926407,1631514079.07627,0.343766
272.817837715149,1631514079.42004,0.343766
