Time,UnixTime,Ibi
17.9815468788147,1631600407.92826,0.6250288
18.6221966743469,1631600408.56891,0.6406546
32.9978668689728,1631600422.94458,0.5781517
33.5760169029236,1631600423.52273,0.5781517
34.1854166984558,1631600424.13213,0.6094034
290.072266817093,1631600680.01898,0.4375203
290.634796857834,1631600680.58151,0.562526
291.197316884995,1631600681.14403,0.562526
329.667856693268,1631600719.61457,0.5312746
390.530046701431,1631600780.47676,0.4218945
390.983196735382,1631600780.92991,0.453146
391.420716762543,1631600781.36743,0.4375203
391.920736789703,1631600781.86745,0.5000231
392.420756816864,1631600782.36747,0.5000231
392.795776844025,1631600782.74249,0.3750174
