Time,Acc_X,Acc_Y,Acc_Z,GSR,Tmp,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,X_10,Y_10,Z_10,X_11,Y_11,Z_11,X_12,Y_12,Z_12,X_13,Y_13,Z_13,X_14,Y_14,Z_14,X_15,Y_15,Z_15,X_16,Y_16,Z_16,X_17,Y_17,Z_17,X_18,Y_18,Z_18,X_19,Y_19,Z_19
3.0,0.6251771237665354,-0.6027966804262537,-0.8374906516712072,-0.4483031423950337,-0.37425826482774854,-0.940542349542083,-0.36405558023143825,-1.2798247713955024,-0.8973965597952149,-0.9135026909383366,-0.4862059986443021,-0.9198610958480213,-0.9819480903553427,-0.1781950628340156,-1.0074381328230801,-1.597681192111999,0.8221666872522418,-1.4118621210560636,-1.0183045014745522,0.773637108665304,-0.3811275502914368,-0.9401892512783224,-1.0390945707027148,-1.045977187204838,-0.294958067933366,0.6368317262673285,-1.361731591489579,-1.3460781875775658,0.011293059971107437,-1.6062086205630954,1.1303940160600154,-0.10745162144269657,0.36551870894911515,-0.010237586372461192,-0.6553653297678831,-0.940542349542083,-0.36405558023143825,-1.2798247713955024,-0.940542349542083,-0.36405558023143825,-1.2798247713955024,-0.940542349542083,-0.36405558023143825,-1.2798247713955024,-0.940542349542083,-0.36405558023143825,-1.2798247713955024,-0.940542349542083,-0.36405558023143825,-1.2798247713955024,-0.940542349542083,-0.36405558023143825,-1.2798247713955024,-0.940542349542083,-0.36405558023143825,-1.2798247713955024,-0.940542349542083,-0.36405558023143825,-1.2798247713955024,-0.940542349542083,-0.36405558023143825,-1.2798247713955024
3.03125,0.312054094379699,-0.6027966804262537,-0.8374906516712072,-0.4567339263379721,-0.37425826482774854,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224,-0.8974000653461606,-0.9147382526519111,-0.4701621540703992,-0.9283779635454206,-0.9955309349695401,-0.1925603800097658,-1.05513556694897,-1.6261044663977045,0.7105984732322853,-1.513477466145677,-1.2053628893961006,0.6581268208336742,-0.29823587308129457,-0.9857473152713034,-1.0310714343145666,-1.1120441692736027,-0.06778223325331786,0.7354018093212327,-0.27850847079060714,-0.7695101524129673,-0.6204183464109853,-1.6104208305527847,1.204225864117463,-0.11253532629679967,0.7733602220758902,0.2403753814907744,-0.8825798938223651,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224,-0.9413642328713008,-0.2858858957723118,-0.9333315269281224
3.0625,-2.574702940769855,-0.37153321816913365,-0.8374906516712072,-0.47318403987318725,-0.37425826482774854,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216,-0.8974034530285797,-0.9159807398857008,-0.45758976580356875,-0.9385679171688067,-1.0209380286964782,-0.2474919265534449,-1.1120075024382006,-1.7163026876649319,0.45017482355835514,-1.6140910882826036,-1.3816232063591154,0.4301388038198972,-0.24202613915082224,-1.0160570912404936,-1.0366002694206877,-1.1366862490861602,-0.033866471751503896,0.7865354842578518,0.33634344627914653,-0.36060927666372555,-0.9722116032555886,-1.6127416471092562,1.1658115197673833,-0.09126978699929279,1.0297117961893492,0.4058910252871872,-0.9943148230517307,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216,-0.9417935603479837,-0.24447179995936474,-0.7200155555385216
3.09375,-2.2626052635773686,1.761297939124079,-0.8374906516712072,-0.48963415340840244,-0.37425826482774854,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086,-0.8974067499597111,-0.9172285593307395,-0.4476901786829815,-0.9500460408237934,-1.0554490441745832,-0.3336568964108842,-1.1759432219970514,-1.8540636994434139,0.07514193100492711,-1.713933447289784,-1.5495696936545844,0.11555007030738076,-0.20635980898926276,-1.034626652699295,-1.0525632629145067,-1.1294337819304987,-0.14874870723569295,0.8011461340502641,0.5905792474599402,-0.08080147777743825,-1.1084856414316104,-1.613606210701796,1.0409747275475765,-0.049717001156875364,1.1694257269551098,0.5058871276606066,-1.0171377588617154,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086,-0.9419206447198087,-0.23135717583061918,-0.6092376363815086
3.125,0.6251771237665354,1.5307179097029409,-0.8374906516712072,-0.5060842669436404,-0.37425826482774854,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547,-0.897408204618478,-0.9184423376227759,-0.44253710394464724,-0.9595368164781494,-1.077450615079558,-0.39366856053218807,-1.2285467680009752,-1.9222585745532785,-0.18098693813109762,-1.7725214629855233,-1.5947522415808395,-0.10269473059159027,-0.18102392981335763,-1.0500784616084724,-1.107102781472048,-1.1193560684216655,-0.21779170013908336,0.7718152249986946,0.739282503020895,0.054830990409462266,-1.140592593290839,-1.6148552723282068,0.9558822972243243,-0.03470010460044145,1.2296937802523025,0.5473471195418634,-1.02399274461145,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547,-0.9418511807978301,-0.23589383037536993,-0.6238332913691547
3.15625,0.6251771237665354,-0.37221665100511553,-0.5874823390335716,-0.5225343804788556,-0.37547375378235875,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283,-0.897408204618478,-0.919629237011045,-0.4411318766880788,-0.9674583816049204,-1.0895747251109615,-0.43302956725514324,-1.2722024266509129,-1.9355240090270789,-0.3432291576921169,-1.7985350378624494,-1.543000349235494,-0.24486633581562142,-0.16384497757538694,-1.0630684922474503,-1.1921023348239146,-1.1070475396157566,-0.2506400145002652,0.7077880490051578,0.8046572315513638,0.07662257784483928,-1.0904491851606126,-1.6164079337078532,0.9021720259796249,-0.0406359535184742,1.227231346862023,0.5425869824879509,-1.0182394326043018,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283,-0.9416265222890372,-0.2543679394127434,-0.7374239549644283
3.1875,0.6251771237665354,1.5307179097029409,1.4757902686454685,-0.5389844940140708,-0.3956992924703587,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087,-0.897408204618478,-0.9204638197474071,-0.4280938083426047,-0.9711354653113514,-1.0894249571967047,-0.41980353575354334,-1.2913841913156543,-1.862816206840578,-0.3371950240711342,-1.8067681783130183,-1.4031064833909135,-0.23249964127104975,-0.15687336027774154,-1.05924808429728,-1.2118799203945647,-1.1010863920794762,-0.26109807296349213,0.7278965970738752,0.8546362575919061,0.10444278681678924,-1.0274212765466089,-1.6130829795793986,0.912716748219021,-0.04221253769503604,1.227998311813529,0.5375849051322947,-1.0111211874085078,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087,-0.9387248193251057,-0.25896973830582587,-0.7400563931461087
3.21875,0.6251771237665354,-0.6027966804262537,-0.8374906516712072,-0.555434607549286,-0.4159248311587035,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155,-0.897408204618478,-0.9209105083401875,-0.4022481962515337,-0.9701394531633025,-1.0757618757663714,-0.34868014389392904,-1.2836206495462408,-1.69545345483903,-0.1458917254838793,-1.7954253880007813,-1.1661699284228002,-0.04998912549408423,-0.16113983071592586,-1.0369196931323794,-1.1598493209184564,-1.1021135943933662,-0.2469048721430765,0.840637027436779,0.8876648988015321,0.13890039704481727,-0.9502077702505957,-1.604387860629062,0.9940050346170539,-0.03898965169501523,1.2323207848492805,0.5323164559612993,-1.0025001759160008,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155,-0.9328757397309931,-0.24829837927750625,-0.6205258691540155
3.25,0.6251771237665354,-0.5643687277968132,-0.8374906516712072,-0.5718847210845012,-0.43615036984670336,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989,-0.897408204618478,-0.9213571969329668,-0.3764025841604817,-0.9691434410152556,-1.0620987943360374,-0.27755675203431474,-1.2758571077768288,-1.5280907028374824,0.04541157310335566,-1.7840825976885444,-0.9292333734546868,0.1325213902828813,-0.16540630115411423,-1.0145913019674788,-1.1078187214423598,-1.1031407967072562,-0.23271167132266082,0.9533774577996829,0.9206935400111581,0.17335800727284598,-0.8729942639545754,-1.5956927416787254,1.0752933210150872,-0.03576676569499443,1.2366432578850322,0.5270480067903038,-0.993879164423494,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989,-0.9270266601368806,-0.2376270202491844,-0.5009953451618989
3.28125,0.6251771237665354,-0.17037399946033238,-0.8374906516712072,-0.5953257988598007,-0.45637590853504817,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057,-0.897408204618478,-0.9218038855257472,-0.3505569720694107,-0.9681474288672087,-1.048435712905704,-0.20643336017470046,-1.2680935660074169,-1.3607279508359313,0.23671487169059063,-1.7727398073763074,-0.6922968184865792,0.3150319060598591,-0.1696727715923026,-0.9922629108025782,-1.0557881219662513,-1.1041679990211466,-0.21851847050224515,1.0661178881625866,0.9537221812207841,0.20781561750087402,-0.7957807576585549,-1.5869976227283893,1.1565816074131203,-0.032543879694973625,1.2409657309207838,0.5217795576193085,-0.9852581529309837,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057,-0.9211775805427681,-0.22695566122086475,-0.3814648211698057
