Time,Labeling
0.01666667,-1
0.03333334,-1
0.05,-1
0.06666667,2
0.08333334,2
0.1,2
0.1166667,2
0.1333333,2
0.15,2
0.1666667,2
0.1833333,2
0.2,2
0.2166667,2
0.2333333,2
0.25,2
0.2666667,2
0.2833333,0.8504804
0.3,0.8504804
0.3166667,0.8504804
0.3333333,0.8504804
0.35,0.8504804
0.3666667,0.8504804
0.3833333,0.8504804
0.4,0.8504804
0.4166667,0.8504804
0.4333333,0.8504804
0.45,0.8504804
0.4666667,0.8504804
0.4833333,0.8504804
0.5,0.8504804
0.5166667,0.8504804
0.5333334,0.8504804
0.55,0.8504804
0.5666667,0.8504804
0.5833333,0.8504804
0.6,0.8504804
0.6166667,0.8504804
0.6333333,0.8504804
0.65,0.8504804
0.6666667,0.8504804
0.6833333,0.8504804
0.7,0.8504804
0.7166666,0.8504804
0.7333333,0.8504804
0.75,0.8504804
0.7666667,0.8504804
0.7833334,0.8504804
0.8,0.8504804
0.8166667,0.8504804
0.8333333,0.8504804
0.85,0.8504804
0.8666667,0.8504804
0.8833333,0.8504804
0.9,0.8504804
0.9166667,0.8504804
0.9333333,0.8504804
0.95,0.8504804
0.9666666,0.8504804
0.9833333,0.8504804
1,0.8504804
1.016667,0.8504804
1.033333,0.8504804
1.05,0.8504804
1.066667,0.8504804
1.083333,0.8504804
1.1,0.8504804
1.116667,0.8504804
1.133333,0.8504804
1.15,0.8504804
1.166667,0.8504804
1.183333,0.8504804
1.2,0.8504804
1.216667,0.8504804
1.233333,0.8504804
1.25,0.8504804
1.266667,0.8504804
1.283333,0.8504804
1.3,0.8504804
1.316667,0.8504804
1.333333,0.8504804
1.35,0.8504804
1.366667,0.8504804
1.383333,0.8504804
1.4,0.8504804
1.416667,0.8504804
1.433333,0.8504804
1.45,0.8504804
1.466667,0.8504804
1.483333,0.8504804
1.5,0.8504804
1.516667,0.8504804
1.533333,0.8504804
1.55,0.8504804
1.566667,0.8504804
1.583333,0.8504804
1.6,0.8504804
1.616667,0.8504804
1.633333,0.8504804
1.65,0.8504804
1.666667,0.8504804
1.683333,0.8504804
1.7,0.8504804
1.716667,0.8504804
1.733333,0.8504804
1.75,0.8504804
1.766667,0.8504804
1.783333,0.8504804
1.8,0.8504804
1.816667,0.8504804
1.833333,0.8504804
1.85,0.8504804
1.866667,0.8504804
1.883333,0.8504804
1.9,0.8504804
1.916667,0.8504804
1.933333,0.8504804
1.95,0.8504804
1.966667,0.8504804
1.983333,0.8504804
2,0.8504804
2.016667,0.8504804
2.033333,0.8504804
2.05,0.8504804
2.066667,0.8504804
2.083333,0.8504804
2.1,0.8504804
2.116667,1.751715
2.133333,1.010974
2.15,1.024691
2.166667,1.052126
2.183333,1.07133
