Time,Acc_X,Acc_Y,Acc_Z,GSR,Tmp,Performance,Labeling
37.33333,-1.2035969604277121,0.3239404598392703,-0.656853368891674,-1.9364919311366147,-2.4745312868727836,1.0,2
37.35,-1.461279418764757,-0.07888376928935494,-0.6785670758418614,-1.9518861021863356,-2.4745312868727836,1.0,2
37.36666,-1.5410088969477826,-0.6214823589273837,-0.7589216626018397,-1.9672710385803553,-2.4745312868727836,1.0,2
37.38334,-1.2719615540996108,-1.4394689882869423,-0.9544622557248129,-1.9701330230611298,-2.4745312868727836,1.0,2
37.4,-1.0862383037796102,-1.801147542653633,-0.8179833332489416,-1.9567334646429355,-2.4745312868727836,1.0,2
37.41667,-0.996609622618899,-1.6352787424241992,-0.29685436644444574,-1.9433258632725074,-2.4745312868727836,1.0,2
37.43333,-0.9465520542356848,-1.5670079216640767,-0.1844347885158645,-1.9299263048543185,-2.4745312868727836,1.0,2
37.45,-0.924152061677482,-1.5670079216640767,-0.3580887993691307,-1.9165187034838902,-2.4745312868727836,1.0,2
37.46667,-0.9735979136643074,-1.3137337145753696,-0.5936733910768708,-1.9031111021134672,-2.4745312868727836,1.0,2
37.48333,-1.0519759640314352,-0.9585137884692109,-0.8540815670505135,-1.889711543695273,-2.4745312868727836,1.0,2
37.5,-1.1210196922902238,-0.5237144068428903,-0.7691868885079195,-1.87630394232485,-2.4745312868727836,1.0,2
37.51667,-1.1882412031607288,-0.07349909193461869,-0.6171909398566731,-1.862896340954427,-2.4745312868727836,1.0,2
37.53333,-1.3308774583710647,0.8552077597913542,-0.8831139688710214,-1.8494967825362327,-2.4745312868727836,1.0,2
37.55,-1.4471132922656922,1.7200912344800177,-1.1957927567770636,-1.8360891811658098,-2.4745312868727836,1.0,2
37.56667,-1.2566523447991806,1.7200912344800177,-1.8254902583324957,-1.8226815797953804,-2.4745312868727836,1.0,2
37.58333,-0.9997136167234184,1.7200912344800177,-2.2335604437157994,-1.8092820213771927,-2.4745312868727836,1.0,2
37.6,-0.4955522851944173,1.7200912344800177,-1.8210000116622405,-1.7958744200067631,-2.4745312868727836,1.0,2
37.61666,-0.014350678661947367,1.7200912344800177,-1.5916544381300446,-1.782474861588569,-2.4745312868727836,1.0,2
37.63334,0.42285125346633196,1.7200912344800177,-1.7220148335453602,-1.7764109626795621,-2.4745312868727836,1.0,2
37.65,0.7558801617660745,1.7200912344800177,-1.9325022849793223,-1.7798847931643809,-2.4745312868727836,1.0,2
37.66667,0.9686800910683231,1.7200912344800177,-2.236396803971571,-1.7833607087815446,-2.4745312868727836,1.0,2
37.68333,1.2339688562021198,1.1432459472384107,-2.1835207734410464,-1.786834539266361,-2.4745312868727836,1.0,2
37.7,1.5364656551195206,0.15988091730676685,-1.8795288761384241,-1.7903104548835245,-2.4745312868727836,1.0,2
37.71667,1.8309857440545807,-0.3511041387524174,-1.946569516875878,-1.7937863705006856,-2.4745312868727836,1.0,2
37.73333,2.1221042168467696,-0.6708020722479602,-2.163576330187247,-1.7972602009855043,-2.4745312868727836,1.0,2
37.75,2.3196510523914604,-0.6833683516291527,-2.271699292609264,-1.8007361166026667,-2.4745312868727836,1.0,2
37.76667,2.498908414712807,-0.6359772658493347,-2.358554120409976,-1.8042120322198278,-2.4745312868727836,1.0,2
37.78333,2.9042821230524303,-0.5658306708222589,-2.0695466067859014,-1.8076858627046466,-2.4745312868727836,1.0,2
37.8,3.220478227688383,-0.46488531973026825,-1.7315888167859192,-1.8111617783218077,-2.4745312868727836,1.0,2
37.81667,2.503448778402692,-0.05021331915668347,-1.036750194379925,-1.8146376939389712,-2.4745312868727836,1.0,2
37.83333,1.9315144381390783,0.344146589302222,-0.4848143985955869,-1.8181115244237889,-2.4745312868727836,1.0,2
37.85,1.8979036827038116,0.6640364183161303,-0.4631006916453996,-1.8215874400409513,-2.4745312868727836,1.0,2
37.86666,1.4234282609801416,1.027534288084683,-0.3902791712475187,-1.82506127052577,-2.4745312868727836,1.0,2
37.88334,0.07862246900447019,1.477875373314926,-0.21652098882216986,-1.839134627353345,-2.4745312868727836,1.0,2
37.9,-0.970227477189367,1.7200912344800177,0.18739865594944402,-1.8669264331776456,-2.4745312868727836,1.0,2
37.91667,-1.6760533413299685,1.7200912344800177,0.860523571405251,-1.8947349207581503,-2.4745312868727836,1.0,2
37.93333,-1.967839916385826,1.7200912344800177,1.0497216196188301,-1.922526726582439,-2.4745312868727836,1.0,2
37.95,-1.967839916385826,1.7200912344800177,0.897725670967519,-1.9503352141629438,-2.4745312868727836,1.0,2
37.96667,-1.967839916385826,1.3408204442441174,0.4213501610041273,-1.9781437017434356,-2.4745312868727836,1.0,2
37.98333,-1.967839916385826,0.8079905550848796,-0.18626891626770553,-2.005935507567737,-2.4745312868727836,1.0,2
38.0,-1.8647929296094004,0.1856819260789626,-0.12248165295195362,-2.033743995148229,-2.4745312868727836,1.0,2
38.01667,-1.7415534930134748,-0.45409773194858116,0.07294170959964899,-2.061552482728721,-2.4745312868727836,1.0,2
38.03333,-1.2415837347680576,-1.480578574188269,0.497766177880187,-2.0893442885530225,-2.4734095461567716,1.0,2
38.05,-0.7639300562305945,-2.4751118037421187,0.8833211996076773,-2.1171527761335156,-2.472149369887317,1.0,2
38.06667,-0.6855300822768853,-2.9607148289890546,0.7530806914677276,-2.144961263714019,-2.470889193617863,1.0,2
38.08333,-0.5930232684555101,-3.4111477320937698,0.6320500004195431,-2.172753069538309,-2.4696297733029957,1.0,2
38.1,-0.44737666156935424,-3.731037561107678,0.5451951726187938,-2.2005615571188124,-2.4683695970335418,1.0,2
38.11666,-0.37318189977005395,-3.83227605771217,0.21816680409077524,-2.2283533629431145,-2.4671101767186743,1.0,2
38.13334,-0.4404437354820969,-3.5003394544937985,-0.5857223009703368,-2.2343393004949506,-2.4658492444946334,1.0,2
38.15,-0.8430687072166541,-2.9832491473773297,-1.048582253130568,-2.212006703131293,-2.464589824179766,1.0,2
38.16667,-1.638523252517967,-2.248687317789837,-1.1137233739811299,-2.189660700847245,-2.4633296479103115,1.0,2
38.18333,-1.967839916385826,-1.0706807334430408,-1.1661141698866528,-2.1673281034835976,-2.4620702275954445,1.0,2
38.2,-1.967839916385826,0.4221384686218643,-1.2095415837870276,-2.1449821011995494,-2.46081005132599,1.0,2
38.21667,-1.967839916385826,1.1823199792775718,-1.1449337804076047,-2.1226360989155104,-2.459549875056536,1.0,2
38.23333,-1.967839916385826,1.6441058832155777,-1.0364303737519203,-2.100303501551854,-2.4582904547416686,1.0,2
38.25,-1.9491175604762614,1.7200912344800177,-1.3451492572949248,-2.077957499267815,-2.4570302784722147,1.0,2
38.26667,-1.9267103901860931,1.7200912344800177,-1.7359959823981301,-2.055611496983777,-2.4557701022027603,1.0,2
38.28333,-1.4418302041387911,1.7200912344800177,-1.3968927006032776,-2.03327889962012,-2.4545106818878932,1.0,2
38.3,-0.9568854150857502,1.714041671850759,-1.0537379623293746,-2.010932897336082,-2.453250505618439,1.0,2
38.31667,-0.6767957864585273,1.6429550431810014,-0.9885968414788127,-1.9885868950520336,-2.451990329348985,1.0,2
38.33333,-0.32163042746855675,1.455042425254846,-0.8961516402312778,-1.9662542976883852,-2.4507309090341174,1.0,2
38.35,0.31697392580151135,0.8271105386719892,-0.7007282776795919,-1.943908295404337,-2.4494707327646634,1.0,2
38.36666,0.8352177516432578,0.27092304751544505,-0.49088910242469835,-1.9215756980406808,-2.448211312449796,1.0,2
38.38334,1.1154754004434368,-0.14399770650751928,-0.2518950441632866,-1.927109722516893,-2.446950380225755,1.0,2
38.4,1.3438575719749035,-0.4112632228592863,-0.07312080562878948,-1.9687968502804702,-2.4456909599108876,1.0,2
38.41667,1.5119113491512373,-0.5060453944189628,0.03544772912214713,-2.0105090003296255,-2.4444307836414336,1.0,2
38.43333,1.5619318562319628,-0.567512076870346,0.08807855812952271,-2.052196128093185,-2.443171363326566,1.0,2
38.45,1.5283232033888206,-0.6054225737742732,0.10110596729142779,-2.0939082781423415,-2.441911187057112,1.0,2
38.46667,1.4947145505456922,-0.6433330706781843,0.11413337645332734,-2.13562042819148,-2.440651010787658,1.0,2
38.48333,1.4611260588620303,-0.6812208258323119,0.1271529707327093,-2.177307555955056,-2.4393915904727907,1.0,2
38.5,1.4275174060189022,-0.7191313227362229,0.14018037989460883,-2.2190197060041945,-2.4381314142033363,1.0,2
38.51667,1.393908753175774,-0.7570418196401341,0.15320778905650834,-2.260731856053333,-2.4368712379338824,1.0,2
38.53333,1.360320261492112,-0.7949295747942617,0.16622738333589032,-2.302418983816909,-2.435611817619015,1.0,2
38.55,1.3267116086489839,-0.8328400716981726,0.17925479249778983,-2.3441311338660475,-2.434351641349561,1.0,2
38.56667,1.2931029558058416,-0.8707505686020999,0.19228220165969495,-2.3858432839152037,-2.4330914650801065,1.0,2
38.58333,1.282961999138238,-0.8610301313048558,0.2162086708056461,-2.4275304116787617,-2.4318320447652395,1.0,2
