Time,Acc_X,Acc_Y,Acc_Z,GSR,Tmp,Labeling
42.7,0.5507440902719857,-0.32119111280736856,1.0602784105073917,-2.10660258136801,-2.3865426423612126,2.0
42.71667,0.4780078806404747,-0.15322646958597178,0.8918020813409941,-2.105957574498871,-2.383674072316218,2.0
42.73333,0.4053153040081259,0.014637415001258772,0.72342681775894,-2.105312954556469,-2.380807223069068,2.0
42.75,0.3325790943766149,0.18260205822265543,0.5549504885925427,-2.10466794768733,-2.3779386530240734,2.0
42.76667,0.2598428847451041,0.3505667014440522,0.3864741594261452,-2.1040229408181914,-2.3750700829790787,2.0
42.78333,0.18715030811275504,0.5184305860312828,0.21809889584409106,-2.1033783208757892,-2.37220323373199,2.0
42.8,0.11441409848124419,0.6863952292526796,0.04962256667769349,-2.1027333140066506,-2.3693346636869954,2.0
42.81667,0.04167788884970234,0.8543598724741481,-0.11885376248877559,-2.1020883071375116,-2.366466093642001,2.0
42.83333,0.053780024302005326,0.9213000554448983,-0.16423157259710708,-2.101443687195109,-2.363599244394851,2.0
42.85,0.19173684874652713,0.8384952770716795,-0.027090888403929647,-2.1008774191339006,-2.360730674349856,2.0
42.86666,0.26613237810785756,0.7694629444787152,0.1616059060549786,-2.1006932440607793,-2.3578638251027675,2.0
42.88334,0.28369992632904334,0.712652104414899,0.3968301778000484,-2.100508847889131,-2.354993534259867,2.0
42.9,0.30124641034373706,0.655909382864322,0.6317724060539279,-2.10032467281601,-2.352126685012778,2.0
42.91667,0.3188034264616843,0.5991326020571012,0.8668556560535026,-2.100140387193625,-2.3492581149677836,2.0
42.93333,0.33634991047637053,0.5423898805065485,1.1017978843072822,-2.099956212120504,-2.3463912657206336,2.0
42.95,0.35390692659431777,0.48561309969932764,1.3368811343068567,-2.099771926498119,-2.343522695675639,2.0
42.96667,0.3714639427122575,0.42883631889213103,1.5719643843063316,-2.099587640875735,-2.3406541256306443,2.0
42.98333,0.38901042672695124,0.37209359734155406,1.806906612560211,-2.0994034658026135,-2.3377872763835557,2.0
43.0,0.406567442844891,0.31531681653435745,2.0419898625596855,-2.0992191801802287,-2.334918706338561,2.0
43.01667,0.40807943320857437,0.26538578622538134,2.2203814018694668,-2.099034894557844,-2.3320501362935664,2.0
43.03333,0.320341390634996,0.25356362830527196,2.08332298563324,-2.098850719484723,-2.3291832870464164,2.0
43.05,0.24436572640447857,0.2273126929819814,1.9678960158090981,-2.098666433862338,-2.326314717001422,2.0
43.06667,0.19921622022263502,0.1634347210940697,1.9091214368691651,-2.0984821482399534,-2.323446146956427,2.0
43.08333,0.15409379832767114,0.0995950683255063,1.8503821156250928,-2.0982979731668325,-2.3205792977093385,2.0
43.1,0.10894429214582771,0.03571709643759445,1.7916075366851598,-2.0981451825760473,-2.3177449606083633,2.0
43.11666,0.06382187025084454,-0.028122556330996227,1.7328682154410624,-2.0981451825760473,-2.3177449606083633,2.0
43.13334,0.01864527978217907,-0.0920388473381744,1.6740583788053434,-2.0981451825760473,-2.3177449606083633,2.0
43.15,-0.0264771421128041,-0.15587850010676507,1.6153190575612462,-2.0981451825760473,-2.3177449606083633,2.0
43.16667,-0.07162664829464746,-0.21975647199467693,1.556544478621313,-2.0981451825760473,-2.3177449606083633,2.0
43.18333,-0.11674907018961143,-0.28359612476324036,1.4978051573772408,-2.0981451825760473,-2.3177449606083633,2.0
43.2,-0.16189857637145497,-0.34747409665115203,1.4390305784373076,-2.0981451825760473,-2.3177449606083633,2.0
