Time,UnixTime,Tmp
2.3479208946228,1631867643.39477,31.71
2.59793090820313,1631867643.64478,31.71
2.84794092178345,1631867643.89479,31.71
3.09795093536377,1631867644.1448,31.71
4.3480110168457,1631867645.39486,31.75
4.59802103042603,1631867645.64487,31.75
4.84803104400635,1631867645.89488,31.75
5.09804105758667,1631867646.14489,31.75
5.34806108474731,1631867646.39491,31.81
5.59807109832764,1631867646.64492,31.81
5.84808087348938,1631867646.89493,31.81
6.0980908870697,1631867647.14494,31.81
6.34810090065002,1631867647.39495,31.83
6.59811091423035,1631867647.64496,31.83
6.84813094139099,1631867647.89498,31.83
7.09814095497131,1631867648.14499,31.83
8.84822106361389,1631867649.89507,31.87
9.09823107719421,1631867650.14508,31.87
9.34824109077454,1631867650.39509,31.91
9.59825110435486,1631867650.6451,31.91
9.8482608795166,1631867650.89511,31.91
10.0982809066772,1631867651.14513,31.91
10.3482909202576,1631867651.39514,31.93
10.5983009338379,1631867651.64515,31.93
10.8483109474182,1631867651.89516,31.93
11.0983209609985,1631867652.14517,31.93
11.3483309745789,1631867652.39518,31.93
11.5983510017395,1631867652.6452,31.93
11.8483610153198,1631867652.89521,31.93
12.0983710289001,1631867653.14522,31.93
12.3483810424805,1631867653.39523,31.99
12.5983910560608,1631867653.64524,31.99
12.8484010696411,1631867653.89525,31.99
13.0984210968018,1631867654.14527,31.99
13.3484308719635,1631867654.39528,31.97
13.5984408855438,1631867654.64529,31.97
13.8484508991241,1631867654.8953,31.97
14.0984609127045,1631867655.14531,31.97
14.3484709262848,1631867655.39532,31.99
14.5984809398651,1631867655.64533,31.99
14.8485009670258,1631867655.89535,31.99
15.0985109806061,1631867656.14536,31.99
16.348571062088,1631867657.39542,32.05
16.5985810756683,1631867657.64543,32.05
16.8485910892487,1631867657.89544,32.05
17.098601102829,1631867658.14545,32.05
17.3486108779907,1631867658.39546,32.07
17.598620891571,1631867658.64547,32.07
17.8486409187317,1631867658.89549,32.07
18.098650932312,1631867659.1455,32.07
18.3486609458923,1631867659.39551,32.09
18.5986709594727,1631867659.64552,32.09
18.848680973053,1631867659.89553,32.09
19.0986909866333,1631867660.14554,32.09
20.3487510681152,1631867661.3956,32.11
20.5987610816956,1631867661.64561,32.11
20.8487710952759,1631867661.89562,32.11
21.0987908840179,1631867662.14564,32.11
22.5988509654999,1631867663.6457,32.15
22.8488709926605,1631867663.89572,32.15
23.0988810062408,1631867664.14573,32.15
23.3488910198212,1631867664.39574,32.17
23.5989010334015,1631867664.64575,32.17
23.8489110469818,1631867664.89576,32.17
24.0989210605621,1631867665.14577,32.17
24.3489410877228,1631867665.39579,32.21
24.5989511013031,1631867665.6458,32.21
24.8489608764648,1631867665.89581,32.21
25.0989708900452,1631867666.14582,32.21
26.3490309715271,1631867667.39588,32.23
26.5990409851074,1631867667.64589,32.23
26.8490509986877,1631867667.8959,32.23
27.0990610122681,1631867668.14591,32.23
29.0991609096527,1631867670.14601,32.25
30.3492109775543,1631867671.39606,32.29
30.599231004715,1631867671.64608,32.29
30.8492410182953,1631867671.89609,32.29
31.0992510318756,1631867672.1461,32.29
32.349310874939,1631867673.39616,32.31
32.5993208885193,1631867673.64617,32.31
32.8493309020996,1631867673.89618,32.31
33.0993409156799,1631867674.14619,32.31
33.3493509292603,1631867674.3962,32.33
33.5993609428406,1631867674.64621,32.33
33.8493809700012,1631867674.89623,32.33
34.0993909835815,1631867675.14624,32.33
34.3494009971619,1631867675.39625,32.35
34.5994110107422,1631867675.64626,32.35
34.8494210243225,1631867675.89627,32.35
35.0994310379028,1631867676.14628,32.35
37.0995309352875,1631867678.14638,32.39
39.0996210575104,1631867680.14647,32.39
39.3496310710907,1631867680.39648,32.43
39.599641084671,1631867680.64649,32.43
39.8496510982513,1631867680.8965,32.43
40.0996708869934,1631867681.14652,32.43
40.3496809005737,1631867681.39653,32.41
40.5996909141541,1631867681.64654,32.41
40.8497009277344,1631867681.89655,32.41
41.0997109413147,1631867682.14656,32.41
43.0998010635376,1631867684.14665,32.45
44.349860906601,1631867685.39671,32.45
44.5998709201813,1631867685.64672,32.45
44.8498909473419,1631867685.89674,32.45
45.0999009609222,1631867686.14675,32.45
45.3499109745026,1631867686.39676,32.45
45.5999209880829,1631867686.64677,32.45
45.8499310016632,1631867686.89678,32.45
46.0999410152435,1631867687.14679,32.45
46.3499510288239,1631867687.3968,32.47
46.5999710559845,1631867687.64682,32.47
46.8499810695648,1631867687.89683,32.47
47.0999910831451,1631867688.14684,32.47
48.3500509262085,1631867689.3969,32.51
48.6000609397888,1631867689.64691,32.51
48.8500709533691,1631867689.89692,32.51
49.1000809669495,1631867690.14693,32.51
51.1001710891724,1631867692.14702,32.51
51.3501908779144,1631867692.39704,32.53
51.6002008914948,1631867692.64705,32.53
51.8502109050751,1631867692.89706,32.53
52.1002209186554,1631867693.14707,32.53
52.3502309322357,1631867693.39708,32.53
52.600240945816,1631867693.64709,32.53
52.8502609729767,1631867693.89711,32.53
53.100270986557,1631867694.14712,32.53
54.3503310680389,1631867695.39718,32.57
54.6003410816193,1631867695.64719,32.57
54.8503510951996,1631867695.8972,32.57
55.1003608703613,1631867696.14721,32.57
55.3503708839417,1631867696.39722,32.55
55.600380897522,1631867696.64723,32.55
55.8503909111023,1631867696.89724,32.55
56.1004109382629,1631867697.14726,32.55
56.3504209518433,1631867697.39727,32.59
56.6004309654236,1631867697.64728,32.59
56.8504409790039,1631867697.89729,32.59
57.1004509925842,1631867698.1473,32.59
57.3504610061646,1631867698.39731,32.57
